"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"243","Gonzalez","2","F","YE","YE48",0.857142857,NA,0.857142857,0.857142857,0.857142857,NA,NA,0.857142857
"244","Gonzalez","2","F","YE","YE49",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"245","Gonzalez","2","F","YE","YE51",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"246","Gonzalez","2","M","AK","AK1",0.578947368,NA,0.578947368,0.578947368,0.578947368,NA,NA,0.578947368
"247","Gonzalez","2","M","AK","AK11",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"248","Gonzalez","2","M","AK","AK12",0.736842105,NA,0.736842105,0.736842105,0.736842105,NA,NA,0.736842105
"249","Gonzalez","2","M","AK","AK13",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"250","Gonzalez","2","M","AK","AK14",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"251","Gonzalez","2","M","AK","AK16",0.578947368,NA,0.578947368,0.578947368,0.578947368,NA,NA,0.578947368
"252","Gonzalez","2","M","AK","AK17",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"253","Gonzalez","2","M","AK","AK2",0.142857143,NA,0.142857143,0.142857143,0.142857143,NA,NA,0.142857143
"254","Gonzalez","2","M","AK","AK20",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"255","Gonzalez","2","M","AK","AK21",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"256","Gonzalez","2","M","AK","AK4",0.857142857,NA,0.857142857,0.857142857,0.857142857,NA,NA,0.857142857
"257","Gonzalez","2","M","AK","AK5",0.52631579,NA,0.52631579,0.52631579,0.52631579,NA,NA,0.52631579
"258","Gonzalez","2","M","AK","AK7",0.368421053,NA,0.368421053,0.368421053,0.368421053,NA,NA,0.368421053
"259","Gonzalez","2","M","AK","AK8",0.578947368,NA,0.578947368,0.578947368,0.578947368,NA,NA,0.578947368
"260","Gonzalez","2","M","AK","AK9",0.666666667,NA,0.666666667,0.666666667,0.666666667,NA,NA,0.666666667
