Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	CSM	Vieira	F	MU	MU17	0.158	0.092
lmer_pop	CSM	Vieira	F	MU	MU18	-0.126	0.092
lmer_pop	CSM	Vieira	F	MU	MU19	-0.027	0.092
lmer_pop	CSM	Vieira	F	MU	MU2	-0.081	0.093
lmer_pop	CSM	Vieira	F	MU	MU20	0.086	0.092
lmer_pop	CSM	Vieira	F	MU	MU3	0.152	0.093
lmer_pop	CSM	Vieira	F	MU	MU4	-0.134	0.092
lmer_pop	CSM	Vieira	F	MU	MU5	0.209	0.093
lmer_pop	CSM	Vieira	F	MU	MU6	0.146	0.093
lmer_pop	CSM	Vieira	F	MU	MU7	0.092	0.092
lmer_pop	CSM	Vieira	F	MU	MU8	0.035	0.092
lmer_pop	CSM	Vieira	F	MU	MU9	-0.183	0.092
lmer_pop	CSM	Vieira	F	RE	RE10	-0.026	0.092
lmer_pop	CSM	Vieira	F	RE	RE11	-0.003	0.092
lmer_pop	CSM	Vieira	F	RE	RE12	0.087	0.093
lmer_pop	CSM	Vieira	F	RE	RE13	0.169	0.092
lmer_pop	CSM	Vieira	F	RE	RE15	0.17	0.092
lmer_pop	CSM	Vieira	F	RE	RE16	0	0.092
lmer_pop	CSM	Vieira	F	RE	RE17	-0.089	0.092
lmer_pop	CSM	Vieira	F	RE	RE18	0.101	0.092
lmer_pop	CSM	Vieira	F	RE	RE2	0.043	0.093
lmer_pop	CSM	Vieira	F	RE	RE3	-0.087	0.093
lmer_pop	CSM	Vieira	F	RE	RE4	0.045	0.093
lmer_pop	CSM	Vieira	F	RE	RE5	-0.017	0.093
