Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA44	80.017	15.276
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA46	42.278	15.276
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA48	-10.879	14.629
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA55	-25.104	14.836
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA57	12.48	15.276
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA6	2.727	14.629
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA66	-18.128	14.629
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA67	-91.343	16.018
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA71	-30.982	15.276
lmer_pop	WA_L	StamenkovicRadak	F	VA	VA9	-14.353	14.836
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE13	41.468	15.512
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE14	-73.99	15.512
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE15	61.017	14.058
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE20	30.942	15.276
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE22	4.68	14.431
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE23	-14.822	14.836
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE24	-9.986	14.629
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE33	-14.042	14.241
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE40	45.327	16.29
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE41	-3.843	15.512
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE49	-29.787	16.29
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE51	-44.362	15.512
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE69	23.95	14.836
lmer_pop	WA_L	StamenkovicRadak	F	YE	YE80	-16.552	15.276
lmer_pop	WA_L	Onder	M	AK	AK1	1.65	18.853
lmer_pop	WA_L	Onder	M	AK	AK10	-79.865	18.682
lmer_pop	WA_L	Onder	M	AK	AK11	-22.984	18.853
lmer_pop	WA_L	Onder	M	AK	AK12	45.27	18.853
lmer_pop	WA_L	Onder	M	AK	AK13	66.406	18.853
lmer_pop	WA_L	Onder	M	AK	AK14	59.237	18.853
lmer_pop	WA_L	Onder	M	AK	AK15	-6.532	18.853
lmer_pop	WA_L	Onder	M	AK	AK16	26.612	18.853
lmer_pop	WA_L	Onder	M	AK	AK17	-1.04	18.853
lmer_pop	WA_L	Onder	M	AK	AK18	0.283	18.853
lmer_pop	WA_L	Onder	M	AK	AK2	-40.481	18.958
lmer_pop	WA_L	Onder	M	AK	AK20	-24.881	18.853
lmer_pop	WA_L	Onder	M	AK	AK21	12.645	18.853
lmer_pop	WA_L	Onder	M	AK	AK3	11.326	18.762
