Model	Trait	Sex	Population	Line	Value_re_Parsch	Value_re_Vieira	SE_re_Parsch	SE_re_Vieira
lmer_pop	HSM	M	RE	RE9	NA	26.473	NA	13.193
lmer_pop	HSM	M	UM	UM22	NA	-93.819	NA	13.573
lmer_pop	HSM	M	UM	UM24	NA	2.535	NA	13.738
lmer_pop	HSM	M	UM	UM6	NA	8.653	NA	10.91
lmer_pop	HSM	M	UM	UM8	NA	5.18	NA	11.416
lmer_pop	HSM	M	VA	VA11	NA	-4.002	NA	10.782
lmer_pop	HSM	M	VA	VA15	NA	44.102	NA	12.688
lmer_pop	HSM	M	VA	VA35	NA	-26.864	NA	12.455
lmer_pop	HSM	M	VA	VA44	NA	-33.086	NA	10.813
lmer_pop	HSM	M	VA	VA46	NA	-60.13	NA	10.878
lmer_pop	HSM	M	YE	YE14	NA	7.245	NA	12.096
lmer_pop	HSM	M	YE	YE20	NA	-3.846	NA	11.791
lmer_pop	HSM	M	YE	YE27	NA	-29.139	NA	10.913
lmer_pop	HSM	M	YE	YE41	NA	-19.48	NA	12.045
lmer_pop	HSM	M	YE	YE49	NA	32.558	NA	13.951
