"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"111","Billeter","1","UM","UM22",62.2,32.0889389042393,64,21,110,14.3506097431433,0.515899339296451,110
"112","Billeter","1","UM","UM23",104.4,35.1326059380741,88,70,155,15.7117790208493,0.336519213966227,126
"113","Billeter","1","UM","UM26",127.8,39.3916234750486,131,70,167,17.616469566857,0.308228665688956,160
"114","Billeter","1","UM","UM28",84.4,57.9076851549084,72,17,175,25.8971040852061,0.686110013683749,17
"115","Billeter","1","UM","UM29",214,60.4855354609679,232,118,281,27.0499537892396,0.282642689069943,236
"116","Billeter","1","UM","UM4",58,95.8879554480123,25,0,227,42.8823973210454,1.65324061117263,0
"117","Billeter","1","UM","UM5",171.4,26.1113002357217,160,157,218,11.677328461596,0.152341308259753,160
"118","Billeter","1","UM","UM7",100.4,99.4902005224635,114,0,226,44.4933702926627,0.990938252215772,114
"119","Billeter","1","UM","UM8",115,37.476659402887,109,64,157,16.7600715988924,0.325883994807713,157
"120","Billeter","1","UM","UM9",89.8,64.9630664300878,116,0,166,29.0523665129022,0.723419447996523,117
"121","Billeter","1","VA","VA1",35.5,6.02771377334171,37,27,41,3.01385688667085,0.16979475417864,27
"122","Billeter","1","VA","VA11",114.6,37.5406446401763,127,60,147,16.7886866669195,0.327579796162097,93
"123","Billeter","1","VA","VA15",31.4,24.1722981944208,33,0,57,10.8101803870241,0.769818413835058,33
"124","Billeter","1","VA","VA18",60.8,26.4140114333283,60,28,100,11.8127050246758,0.434440977521848,60
"125","Billeter","1","VA","VA22",127.6,80.9030283734793,135,2,214,36.1809342057388,0.63403627251943,214
"126","Billeter","1","VA","VA26",87.8,57.3689811657833,94,12,170,25.6561883373193,0.653405252457669,98
"127","Billeter","1","VA","VA30",59.6,39.4499683143092,61,1,102,17.6425621722016,0.661912220038745,88
"128","Billeter","1","VA","VA34",131.6,83.0198771379481,127,6,224,37.1276177528265,0.630850130227569,224
"129","Billeter","1","VA","VA35",93,10.770329614269,95,76,102,4.81663783151692,0.115809995852355,102
"130","Billeter","1","VA","VA44",119.8,58.6915666855128,147,38,182,26.2476665629537,0.489912910563546,151
"131","Billeter","1","VA","VA46",92.4,19.165072397463,101,59,106,8.57088093488645,0.207414203435747,94
"132","Billeter","1","VA","VA47",135.4,56.9280247329907,119,88,232,25.4589866255513,0.420443314128439,119
"133","Billeter","1","VA","VA48",39.6,48.9979591411724,38,0,120,21.9125534796837,1.23732220053466,0
"134","Billeter","1","VA","VA55",88.4,74.5171121286916,52,27,209,33.3250656413457,0.842953757111896,111
"135","Billeter","1","VA","VA57",61.2,47.934330077722,63,0,132,21.4368841019398,0.783240687544476,69
